0x00401270,ChangeRenderedSetAction_Play
0x00406a30,Game_DestroyedPlayer
0x00407150,Game_ClearMissionTempDir
0x004351c0,ObjectClass_EnteredSetHandler
0x004360c0,GetBoundingBox
0x00455060,NiRegister_TGDimmerController
0x00455320,NiFactory_TGDimmerController
0x00456740,NiRegister_TGFuzzyTriShape
0x004568e0,TGFuzzyTriShape_ctor
0x00456910,TGFuzzyTriShape_CreateClone
0x00456980,NiFactory_TGFuzzyTriShape
0x00456b70,TGFuzzyTriShape_vfn35
0x00456f80,TGFuzzyTriShape_scalar_deleting_dtor
0x0046c280,CRect
0x00470dd0,swig_ArtificialIntelligence_GetAIByID
0x00473830,swig_AIScriptAssist_GetIncomingTorpIDsInSet
0x0047c020,swig_ConditionScript_Create
0x0047d000,swig_FuzzyLogic_BreakIntoSets
0x004890e0,OSTEventHandler_TargetListChanged
0x00489470,OSTEventHandler_TargetGone
0x00489570,OptimizedSelectTarget_TargetGone
0x0048bec0,OTREventHandler_SystemDisabled
0x004a56a0,NiRegister_NiBinaryVoxelData
0x004a57f0,NiFactory_NiBinaryVoxelData
0x004a5890,NiBinaryVoxelData_RegisterStreamables
0x004a5b20,NiBinaryVoxelData_SaveBinary
0x004a7ae0,NiBinaryVoxelData_ctor
0x004a7b40,NiBinaryVoxelData_scalar_deleting_dtor
0x004ac000,NiRegister_NiBinaryVoxelExtraData
0x004ac150,NiFactory_NiBinaryVoxelExtraData
0x004e1450,NiClusterAccumulator_scalar_deleting_dtor
0x004e9c10,ShieldPatchParticles_PatchInstance
0x005046b0,MultiplayerWindow_ReceiveMessageHandler
0x00504890,MultiplayerWindow_StartGameHandler
0x00504c10,MultiplayerWindow_ReceiveMessage
0x00504c70,Handler_UICollisionSetting_0x16
0x00504f10,CreateMultiplayerGame
0x005438b0,RadarScope_UpdateBlips
0x00565d40,RepairSubsystem_HandleHitEvent
0x00566f50,SensorSubsystem_HandleEnterSet
0x00591b60,Ship_SetModelName
0x00593650,DoDamage_FromPosition
0x00593e50,ProcessDamage
0x00594020,DoDamage
0x005952d0,DoDamage_CollisionContacts
0x0059d5b0,swig_ObjectGroup_ForceToGroup
0x005a1f50,Ship_Deserialize
0x005af390,CRect
0x005b0060,CollisionDamageWrapper
0x005b0e80,Ship_InitObject
0x005b17f0,Ship_WriteStateUpdate
0x005b3fb0,Ship_SetupProperties
0x005bad40,SWIG_InitAppc_pre
0x005bae00,SWIG_GetPointerObj
0x005bb040,SWIG_MakePtr
0x005bb0e0,SWIG_NewPointerObj
0x005bc220,swig_TGLocDBWrapperSerialize
0x005bc2d0,swig_TGLocDBWrapperUnserialize
0x005bc380,swig_TGActionManager_SkipEvents
0x005bc3b0,swig_TGActionManager_RegisterAction
0x005bc470,swig_TGActionManager_KillActions
0x005bc500,swig_ChaseCameraMode_Cast
0x005bc570,swig_TargetCameraMode_Cast
0x005bc5e0,swig_ZoomTargetMode_Cast
0x005bc650,swig_MapCameraMode_Cast
0x005bc6c0,swig_DropAndWatchMode_Cast
0x005bc730,swig_PlacementWatchMode_Cast
0x005bc7a0,swig_LockedPositionMode_Cast
0x005bc810,swig_TorpCameraMode_Cast
0x005bc880,swig_PlaceByDirectionMode_Cast
0x005bc8f0,swig_BreakIntoSets
0x005bc990,swig_DisplayCollisionTests
0x005bc9d0,swig_SubsystemList_Cast
0x005bca40,swig_delete_NiFrustum
0x005bcab0,swig_NiFrustum_m_fLeft_set
0x005bcb30,swig_NiFrustum_m_fLeft_get
0x005bcb90,swig_NiFrustum_m_fRight_set
0x005bcc10,swig_NiFrustum_m_fRight_get
0x005bcc80,swig_NiFrustum_m_fTop_set
0x005bcd00,swig_NiFrustum_m_fTop_get
0x005bcd70,swig_NiFrustum_m_fBottom_set
0x005bcdf0,swig_NiFrustum_m_fBottom_get
0x005bce60,swig_NiFrustum_m_fNear_set
0x005bcee0,swig_NiFrustum_m_fNear_get
0x005bcf50,swig_NiFrustum_m_fFar_set
0x005bcfd0,swig_NiFrustum_m_fFar_get
0x005bd040,swig_NiColor_r_set
0x005bd0c0,swig_NiColor_r_get
0x005bd120,swig_NiColor_g_set
0x005bd1a0,swig_NiColor_g_get
0x005bd210,swig_NiColor_b_set
0x005bd290,swig_NiColor_b_get
0x005bd300,swig_new_NiColor
0x005bd390,swig_delete_NiColor
0x005bd400,swig_TGColorA_r_set
0x005bd480,swig_TGColorA_r_get
0x005bd4e0,swig_TGColorA_g_set
0x005bd560,swig_TGColorA_g_get
0x005bd5d0,swig_TGColorA_b_set
0x005bd650,swig_TGColorA_b_get
0x005bd6c0,swig_TGColorA_a_set
0x005bd740,swig_TGColorA_a_get
0x005bd7b0,swig_new_NiColorA
0x005bd860,swig_delete_NiColorA
0x005bd8d0,swig_NiPoint2_x_set
0x005bd950,swig_NiPoint2_x_get
0x005bd9b0,swig_NiPoint2_y_set
0x005bda30,swig_NiPoint2_y_get
0x005bdaa0,swig_new_NiPoint2
0x005bdb10,swig_delete_NiPoint2
0x005bdb80,swig_NiPoint2_Length
0x005bdc00,swig_NiPoint2_SqrLength
0x005bdc80,swig_NiPoint2_Dot
0x005bdd30,swig_NiPoint2_Unitize
0x005bddf0,swig_TGPoint3_x_set
0x005bde70,swig_TGPoint3_x_get
0x005bded0,swig_TGPoint3_y_set
0x005bdf50,swig_TGPoint3_y_get
0x005bdfc0,swig_TGPoint3_z_set
0x005be040,swig_TGPoint3_z_get
0x005be0b0,swig_new_NiPoint3
0x005be130,swig_delete_NiPoint3
0x005be1a0,swig_NiPoint3_Length
0x005be220,swig_NiPoint3_SqrLength
0x005be2a0,swig_NiPoint3_Dot
0x005be350,swig_NiPoint3_Unitize
0x005be430,swig_NiPoint3_Cross
0x005be520,swig_NiPoint3_UnitCross
0x005be680,swig_NiPoint3_Perpendicular
0x005be910,swig_TGModelUtils_CastNodeToAVObject
0x005be980,swig_TGModelUtils_LocalToWorldPoint
0x005bea80,swig_TGModelUtils_WorldToLocalPoint
0x005beb90,swig_TGModelUtils_LocalToLocalPoint
0x005bed30,swig_TGModelUtils_LocalToWorldVector
0x005bee10,swig_TGModelUtils_WorldToLocalVector
0x005bef10,swig_TGModelUtils_LocalToLocalVector
0x005bf070,swig_TGModelUtils_LocalToWorldUnitVector
0x005bf130,swig_TGModelUtils_WorldToLocalUnitVector
0x005bf200,swig_TGModelUtils_LocalToLocalUnitVector
0x005bf310,swig_TGSystemWrapperClass_GetTimeSinceFrameStart
0x005bf390,swig_TGSystemWrapperClass_GetTimeInSeconds
0x005bf400,swig_TGSystemWrapperClass_GetTimeInMilliseconds
0x005bf460,swig_TGSystemWrapperClass_GetTimeElapsedInSeconds
0x005bf4d0,swig_TGSystemWrapperClass_GetTimeElapsedInMilliseconds
0x005bf530,swig_TGSystemWrapperClass_GetUpdateNumber
0x005bf590,swig_TGSystemWrapperClass_GetVerticalAspectRatio
0x005bf600,swig_TGSystemWrapperClass_IsForeground
0x005bf680,swig_TGSystemWrapperClass_GetRandomNumber
0x005bf6f0,swig_TGSystemWrapperClass_SetRandomSeed
0x005bf770,swig_TGSystemWrapperClass_GetIniInt
0x005bf8e0,swig_TGSystemWrapperClass_GetIniFloat
0x005bfa50,swig_TGSystemWrapperClass_GetIniString
0x005bfc30,swig_TGSystemWrapperClass_TakeScreenshot
0x005bfd00,swig_TGSystemWrapperClass_SetDefaultScreenShotPath
0x005bfdc0,swig_new_TGProfilingInfo
0x005bfe60,swig_delete_TGProfilingInfo
0x005bfee0,swig_TGProfilingInfo_EnableProfiling
0x005bff10,swig_TGProfilingInfo_DisableProfiling
0x005bff40,swig_TGProfilingInfo_StartTiming
0x005bffd0,swig_TGProfilingInfo_StopTiming
0x005c0010,swig_TGProfilingInfo_SetTimingData
